,Index,Chapter,Content,Word_Count,Text_Length,Location,LocationType,Time,Event,ESummary,EImportance,CTag,CText,Character,ERole
406,406,7,"Once more she found herself in the long hall, and close to the little glass table. “Now, I’ll manage better this time,” she said to herself, and began by taking the little golden key, and unlocking the door that led into the garden. Then she went to work nibbling at the mushroom (she had kept a piece of it in her pocket) till she was about a foot high: then she walked down the little passage: and _then_—she found herself at last in the beautiful garden, among the bright flower-beds and the cool fountains.",94,510,garden,EXT,day,Alice Enters the Garden,"Alice discovers a door in a tree and decides to enter, leading her back to the magical garden she longs for. This signifies a new beginning for her adventures in Wonderland.",6.0,Action,Alice unlocked the door to the garden after managing her entry better this time.,Alice,Setup
407,407,8,CHAPTER VIII. The Queen’s Croquet-Ground,5,40,garden,EXT,day,,,,,,,
408,408,8,"A large rose-tree stood near the entrance of the garden: the roses growing on it were white, but there were three gardeners at it, busily painting them red. Alice thought this a very curious thing, and she went nearer to watch them, and just as she came up to them she heard one of them say, “Look out now, Five! Don’t go splashing paint over me like that!”",68,357,garden,EXT,day,Alice witnesses the gardeners painting roses,Alice encounters three gardeners frantically painting white roses red to avoid the Queen's wrath for having mistakenly planted a white rose. This strangely comical scene introduces the concept of fear and absurdity in the court.,6.0,Action,The gardeners painted the white roses red to avoid punishment.,Gardeners,Setup
409,409,8,"“I couldn’t help it,” said Five, in a sulky tone; “Seven jogged my elbow.”",14,74,garden,EXT,day,Alice witnesses the gardeners painting roses,Alice encounters three gardeners frantically painting white roses red to avoid the Queen's wrath for having mistakenly planted a white rose. This strangely comical scene introduces the concept of fear and absurdity in the court.,6.0,,,,Setup
410,410,8,"On which Seven looked up and said, “That’s right, Five! Always lay the blame on others!”",16,88,garden,EXT,day,Alice witnesses the gardeners painting roses,Alice encounters three gardeners frantically painting white roses red to avoid the Queen's wrath for having mistakenly planted a white rose. This strangely comical scene introduces the concept of fear and absurdity in the court.,6.0,,,,Setup
411,411,8,“_You’d_ better not talk!” said Five. “I heard the Queen say only yesterday you deserved to be beheaded!”,18,105,garden,EXT,day,Alice witnesses the gardeners painting roses,Alice encounters three gardeners frantically painting white roses red to avoid the Queen's wrath for having mistakenly planted a white rose. This strangely comical scene introduces the concept of fear and absurdity in the court.,6.0,,,,Setup
412,412,8,“What for?” said the one who had spoken first.,9,46,garden,EXT,day,Alice witnesses the gardeners painting roses,Alice encounters three gardeners frantically painting white roses red to avoid the Queen's wrath for having mistakenly planted a white rose. This strangely comical scene introduces the concept of fear and absurdity in the court.,6.0,,,,Setup
413,413,8,"“That’s none of _your_ business, Two!” said Seven.",8,50,garden,EXT,day,Alice witnesses the gardeners painting roses,Alice encounters three gardeners frantically painting white roses red to avoid the Queen's wrath for having mistakenly planted a white rose. This strangely comical scene introduces the concept of fear and absurdity in the court.,6.0,,,,Setup
414,414,8,"“Yes, it _is_ his business!” said Five, “and I’ll tell him—it was for bringing the cook tulip-roots instead of onions.”",20,119,garden,EXT,day,Alice witnesses the gardeners painting roses,Alice encounters three gardeners frantically painting white roses red to avoid the Queen's wrath for having mistakenly planted a white rose. This strangely comical scene introduces the concept of fear and absurdity in the court.,6.0,,,,Setup
415,415,8,"Seven flung down his brush, and had just begun “Well, of all the unjust things—” when his eye chanced to fall upon Alice, as she stood watching them, and he checked himself suddenly: the others looked round also, and all of them bowed low.",44,239,garden,EXT,day,Alice witnesses the gardeners painting roses,Alice encounters three gardeners frantically painting white roses red to avoid the Queen's wrath for having mistakenly planted a white rose. This strangely comical scene introduces the concept of fear and absurdity in the court.,6.0,,,,Setup
416,416,8,"“Would you tell me,” said Alice, a little timidly, “why you are painting those roses?”",15,86,garden,EXT,day,Alice witnesses the gardeners painting roses,Alice encounters three gardeners frantically painting white roses red to avoid the Queen's wrath for having mistakenly planted a white rose. This strangely comical scene introduces the concept of fear and absurdity in the court.,6.0,Action,Alice approached the gardeners to inquire about the painted roses.,Alice,Setup
417,417,8,"Five and Seven said nothing, but looked at Two. Two began in a low voice, “Why the fact is, you see, Miss, this here ought to have been a _red_ rose-tree, and we put a white one in by mistake; and if the Queen was to find it out, we should all have our heads cut off, you know. So you see, Miss, we’re doing our best, afore she comes, to—” At this moment Five, who had been anxiously looking across the garden, called out “The Queen! The Queen!” and the three gardeners instantly threw themselves flat upon their faces. There was a sound of many footsteps, and Alice looked round, eager to see the Queen.",116,604,garden,EXT,day,Alice witnesses the gardeners painting roses,Alice encounters three gardeners frantically painting white roses red to avoid the Queen's wrath for having mistakenly planted a white rose. This strangely comical scene introduces the concept of fear and absurdity in the court.,6.0,,,,Setup
418,418,8,"First came ten soldiers carrying clubs; these were all shaped like the three gardeners, oblong and flat, with their hands and feet at the corners: next the ten courtiers; these were ornamented all over with diamonds, and walked two and two, as the soldiers did. After these came the royal children; there were ten of them, and the little dears came jumping merrily along hand in hand, in couples: they were all ornamented with hearts. Next came the guests, mostly Kings and Queens, and among them Alice recognised the White Rabbit: it was talking in a hurried nervous manner, smiling at everything that was said, and went by without noticing her. Then followed the Knave of Hearts, carrying the King’s crown on a crimson velvet cushion; and, last of all this grand procession, came THE KING AND QUEEN OF HEARTS.",140,811,garden,EXT,day,The Queen's procession arrives,"A grand procession, including the Queen and King of Hearts, enters the garden. The sight creates a mixture of awe and trepidation for Alice, establishing the royal presence and setting the scene for ensuing conflicts.",7.0,Action,The White Rabbit hurried by Alice without noticing her.,White Rabbit,Inciting Incident
419,419,8,"Alice was rather doubtful whether she ought not to lie down on her face like the three gardeners, but she could not remember ever having heard of such a rule at processions; “and besides, what would be the use of a procession,” thought she, “if people had all to lie down upon their faces, so that they couldn’t see it?” So she stood still where she was, and waited.",69,366,garden,EXT,day,The Queen's procession arrives,"A grand procession, including the Queen and King of Hearts, enters the garden. The sight creates a mixture of awe and trepidation for Alice, establishing the royal presence and setting the scene for ensuing conflicts.",7.0,,,,Inciting Incident
420,420,8,"When the procession came opposite to Alice, they all stopped and looked at her, and the Queen said severely “Who is this?” She said it to the Knave of Hearts, who only bowed and smiled in reply.",37,194,garden,EXT,day,The Queen confronts Alice,"The Queen questions Alice, who confidently claims her name. The Queen's annoyance foreshadows impending conflict, as she issues a severe command for Alice's beheading.",7.0,,,,Turning Point
421,421,8,"“Idiot!” said the Queen, tossing her head impatiently; and, turning to Alice, she went on, “What’s your name, child?”",19,117,garden,EXT,day,The Queen confronts Alice,"The Queen questions Alice, who confidently claims her name. The Queen's annoyance foreshadows impending conflict, as she issues a severe command for Alice's beheading.",7.0,,,,Turning Point
422,422,8,"“My name is Alice, so please your Majesty,” said Alice very politely; but she added, to herself, “Why, they’re only a pack of cards, after all. I needn’t be afraid of them!”",32,173,garden,EXT,day,The Queen confronts Alice,"The Queen questions Alice, who confidently claims her name. The Queen's annoyance foreshadows impending conflict, as she issues a severe command for Alice's beheading.",7.0,Statement,Alice introduced herself to the Queen politely.,Alice,Turning Point
423,423,8,"“And who are _these?_” said the Queen, pointing to the three gardeners who were lying round the rose-tree; for, you see, as they were lying on their faces, and the pattern on their backs was the same as the rest of the pack, she could not tell whether they were gardeners, or soldiers, or courtiers, or three of her own children.",61,329,garden,EXT,day,The Queen confronts Alice,"The Queen questions Alice, who confidently claims her name. The Queen's annoyance foreshadows impending conflict, as she issues a severe command for Alice's beheading.",7.0,,,,Turning Point
424,424,8,"“How should _I_ know?” said Alice, surprised at her own courage. “It’s no business of _mine_.”",16,94,garden,EXT,day,The Queen confronts Alice,"The Queen questions Alice, who confidently claims her name. The Queen's annoyance foreshadows impending conflict, as she issues a severe command for Alice's beheading.",7.0,,,,Turning Point
425,425,8,"The Queen turned crimson with fury, and, after glaring at her for a moment like a wild beast, screamed “Off with her head! Off—”",24,128,garden,EXT,day,The Queen confronts Alice,"The Queen questions Alice, who confidently claims her name. The Queen's annoyance foreshadows impending conflict, as she issues a severe command for Alice's beheading.",7.0,Action,The Queen ordered Alice's execution.,Queen of Hearts,Turning Point
426,426,8,"“Nonsense!” said Alice, very loudly and decidedly, and the Queen was silent.",12,76,garden,EXT,day,The Queen confronts Alice,"The Queen questions Alice, who confidently claims her name. The Queen's annoyance foreshadows impending conflict, as she issues a severe command for Alice's beheading.",7.0,,,,Turning Point
427,427,8,"The King laid his hand upon her arm, and timidly said “Consider, my dear: she is only a child!”",19,95,garden,EXT,day,,,,Statement,"The King defended Alice, stating she was only a child.",King of Hearts,
428,428,8,"The Queen turned angrily away from him, and said to the Knave “Turn them over!”",15,79,garden,EXT,day,,,,,,,
429,429,8,"The Knave did so, very carefully, with one foot.",9,48,garden,EXT,day,,,,,,,
430,430,8,"“Get up!” said the Queen, in a shrill, loud voice, and the three gardeners instantly jumped up, and began bowing to the King, the Queen, the royal children, and everybody else.",31,176,garden,EXT,day,,,,,,,
431,431,8,"“Leave off that!” screamed the Queen. “You make me giddy.” And then, turning to the rose-tree, she went on, “What _have_ you been doing here?”",25,142,garden,EXT,day,,,,Action,The gardeners jumped up and bowed to the royalty after being commanded.,Gardeners,
432,432,8,"“May it please your Majesty,” said Two, in a very humble tone, going down on one knee as he spoke, “we were trying—”",23,116,garden,EXT,day,,,,,,,
433,433,8,"“_I_ see!” said the Queen, who had meanwhile been examining the roses. “Off with their heads!” and the procession moved on, three of the soldiers remaining behind to execute the unfortunate gardeners, who ran to Alice for protection.",38,233,garden,EXT,day,The gardeners seek protection,The three gardeners run to Alice for help when the Queen orders their execution. This event portrays the theme of authority and mercy as Alice intervenes to save them.,5.0,,,,Climax
434,434,8,"“You shan’t be beheaded!” said Alice, and she put them into a large flower-pot that stood near. The three soldiers wandered about for a minute or two, looking for them, and then quietly marched off after the others.",38,215,garden,EXT,day,The gardeners seek protection,The three gardeners run to Alice for help when the Queen orders their execution. This event portrays the theme of authority and mercy as Alice intervenes to save them.,5.0,Action,Alice protected the gardeners from being executed.,Alice,Climax
435,435,8,“Are their heads off?” shouted the Queen.,7,41,garden,EXT,day,,,,,,,
436,436,8,"“Their heads are gone, if it please your Majesty!” the soldiers shouted in reply.",14,81,garden,EXT,day,,,,,,,
437,437,8,“That’s right!” shouted the Queen. “Can you play croquet?”,9,58,garden,EXT,day,The Queen challenges Alice to croquet,"The Queen invites Alice to join a game of croquet, further entangling Alice in the chaotic world of Wonderland, and emphasizing the absurdity of the Queen’s rule.",6.0,,,,Setup
438,438,8,"The soldiers were silent, and looked at Alice, as the question was evidently meant for her.",16,91,garden,EXT,day,The Queen challenges Alice to croquet,"The Queen invites Alice to join a game of croquet, further entangling Alice in the chaotic world of Wonderland, and emphasizing the absurdity of the Queen’s rule.",6.0,Statement,The Queen inquired if Alice could play croquet.,Queen of Hearts,Setup
439,439,8,“Yes!” shouted Alice.,3,21,garden,EXT,day,The Queen challenges Alice to croquet,"The Queen invites Alice to join a game of croquet, further entangling Alice in the chaotic world of Wonderland, and emphasizing the absurdity of the Queen’s rule.",6.0,Statement,Alice confidently stated that she could play croquet.,Alice,Setup
440,440,8,"“Come on, then!” roared the Queen, and Alice joined the procession, wondering very much what would happen next.",18,111,garden,EXT,day,The Queen challenges Alice to croquet,"The Queen invites Alice to join a game of croquet, further entangling Alice in the chaotic world of Wonderland, and emphasizing the absurdity of the Queen’s rule.",6.0,,,,Setup
441,441,8,"“It’s—it’s a very fine day!” said a timid voice at her side. She was walking by the White Rabbit, who was peeping anxiously into her face.",26,138,garden,EXT,day,The croquet game begins,,7.0,,,,
442,442,8,"“Very,” said Alice: “—where’s the Duchess?”",6,43,garden,EXT,day,The croquet game begins,,7.0,,,,
443,443,8,"“Hush! Hush!” said the Rabbit in a low, hurried tone. He looked anxiously over his shoulder as he spoke, and then raised himself upon tiptoe, put his mouth close to her ear, and whispered “She’s under sentence of execution.”",39,224,garden,EXT,day,The croquet game begins,,7.0,Statement,The White Rabbit whispered about the Duchess being under sentence of execution.,White Rabbit,
444,444,8,“What for?” said Alice.,4,23,garden,EXT,day,The croquet game begins,,7.0,,,,
445,445,8,“Did you say ‘What a pity!’?” the Rabbit asked.,9,47,garden,EXT,day,The croquet game begins,,7.0,,,,
446,446,8,"“No, I didn’t,” said Alice: “I don’t think it’s at all a pity. I said ‘What for?’”",17,82,garden,EXT,day,The croquet game begins,,7.0,Statement,The Rabbit misunderstood Alice's inquiry about the Duchess.,White Rabbit,
447,447,8,"“She boxed the Queen’s ears—” the Rabbit began. Alice gave a little scream of laughter. “Oh, hush!” the Rabbit whispered in a frightened tone. “The Queen will hear you! You see, she came rather late, and the Queen said—”",39,220,garden,EXT,day,The croquet game begins,,7.0,,,,
448,448,8,"“Get to your places!” shouted the Queen in a voice of thunder, and people began running about in all directions, tumbling up against each other; however, they got settled down in a minute or two, and the game began. Alice thought she had never seen such a curious croquet-ground in her life; it was all ridges and furrows; the balls were live hedgehogs, the mallets live flamingoes, and the soldiers had to double themselves up and to stand on their hands and feet, to make the arches.",87,485,garden,EXT,day,Game chaos and the Queen's fury,"The croquet game descends into confusion and chaos, illustrating the arbitrary nature of the Queen's authority and the danger Alice faces as tensions rise.",7.0,,,,Climax
449,449,8,"The chief difficulty Alice found at first was in managing her flamingo: she succeeded in getting its body tucked away, comfortably enough, under her arm, with its legs hanging down, but generally, just as she had got its neck nicely straightened out, and was going to give the hedgehog a blow with its head, it _would_ twist itself round and look up in her face, with such a puzzled expression that she could not help bursting out laughing: and when she had got its head down, and was going to begin again, it was very provoking to find that the hedgehog had unrolled itself, and was in the act of crawling away: besides all this, there was generally a ridge or furrow in the way wherever she wanted to send the hedgehog to, and, as the doubled-up soldiers were always getting up and walking off to other parts of the ground, Alice soon came to the conclusion that it was a very difficult game indeed.",165,901,garden,EXT,day,Game chaos and the Queen's fury,"The croquet game descends into confusion and chaos, illustrating the arbitrary nature of the Queen's authority and the danger Alice faces as tensions rise.",7.0,,,,Climax
450,450,8,"The players all played at once without waiting for turns, quarrelling all the while, and fighting for the hedgehogs; and in a very short time the Queen was in a furious passion, and went stamping about, and shouting “Off with his head!” or “Off with her head!” about once in a minute.",52,284,garden,EXT,day,Game chaos and the Queen's fury,"The croquet game descends into confusion and chaos, illustrating the arbitrary nature of the Queen's authority and the danger Alice faces as tensions rise.",7.0,,,,Climax
451,451,8,"Alice began to feel very uneasy: to be sure, she had not as yet had any dispute with the Queen, but she knew that it might happen any minute, “and then,” thought she, “what would become of me? They’re dreadfully fond of beheading people here; the great wonder is, that there’s any one left alive!”",55,297,garden,EXT,day,Game chaos and the Queen's fury,"The croquet game descends into confusion and chaos, illustrating the arbitrary nature of the Queen's authority and the danger Alice faces as tensions rise.",7.0,Statement,Alice worried about the possibility of being beheaded by the Queen.,Alice,Climax
452,452,8,"She was looking about for some way of escape, and wondering whether she could get away without being seen, when she noticed a curious appearance in the air: it puzzled her very much at first, but, after watching it a minute or two, she made it out to be a grin, and she said to herself “It’s the Cheshire Cat: now I shall have somebody to talk to.”",68,348,garden,EXT,day,The Cheshire Cat appears,"Alice encounters the Cheshire Cat, who offers companionship and commentary on the bizarre happenings around her, marking a shift in Alice's navigation of Wonderland.",6.0,,,,Turning Point
453,453,8,"“How are you getting on?” said the Cat, as soon as there was mouth enough for it to speak with.",20,95,garden,EXT,day,The Cheshire Cat appears,"Alice encounters the Cheshire Cat, who offers companionship and commentary on the bizarre happenings around her, marking a shift in Alice's navigation of Wonderland.",6.0,Statement,The Cheshire Cat greeted Alice and asked how she was doing.,Cheshire Cat,Turning Point
454,454,8,"Alice waited till the eyes appeared, and then nodded. “It’s no use speaking to it,” she thought, “till its ears have come, or at least one of them.” In another minute the whole head appeared, and then Alice put down her flamingo, and began an account of the game, feeling very glad she had someone to listen to her. The Cat seemed to think that there was enough of it now in sight, and no more of it appeared.",79,409,garden,EXT,day,The Cheshire Cat appears,"Alice encounters the Cheshire Cat, who offers companionship and commentary on the bizarre happenings around her, marking a shift in Alice's navigation of Wonderland.",6.0,,,,Turning Point
455,455,8,"“I don’t think they play at all fairly,” Alice began, in rather a complaining tone, “and they all quarrel so dreadfully one can’t hear oneself speak—and they don’t seem to have any rules in particular; at least, if there are, nobody attends to them—and you’ve no idea how confusing it is all the things being alive; for instance, there’s the arch I’ve got to go through next walking about at the other end of the ground—and I should have croqueted the Queen’s hedgehog just now, only it ran away when it saw mine coming!”",94,521,garden,EXT,day,,,,,,,
456,456,8,“How do you like the Queen?” said the Cat in a low voice.,13,57,garden,EXT,day,,,,Statement,Alice complained about the unfairness of the game.,Alice,
457,457,8,"“Not at all,” said Alice: “she’s so extremely—” Just then she noticed that the Queen was close behind her, listening: so she went on, “—likely to win, that it’s hardly worth while finishing the game.”",35,200,garden,EXT,day,,,,,,,
458,458,8,The Queen smiled and passed on.,6,31,garden,EXT,day,,,,Action,The Cat smiled and left when the Queen approached.,Cheshire Cat,
459,459,8,"“Who _are_ you talking to?” said the King, going up to Alice, and looking at the Cat’s head with great curiosity.",21,113,garden,EXT,day,,,,,,,
460,460,8,"“It’s a friend of mine—a Cheshire Cat,” said Alice: “allow me to introduce it.”",14,79,garden,EXT,day,The Queen demands the Cheshire Cat's removal,"The King brings Alice's attention to the Cheshire Cat, which the Queen demands be removed. The King eagerly goes to fetch the executioner.",6.0,,,,
461,461,8,"“I don’t like the look of it at all,” said the King: “however, it may kiss my hand if it likes.”",21,96,garden,EXT,day,The Queen demands the Cheshire Cat's removal,,6.0,Statement,The King expressed his discomfort with the Cheshire Cat.,King of Hearts,
462,462,8,"“I’d rather not,” the Cat remarked.",6,35,garden,EXT,day,The Queen demands the Cheshire Cat's removal,,6.0,,,,
463,463,8,"“Don’t be impertinent,” said the King, “and don’t look at me like that!” He got behind Alice as he spoke.",20,105,garden,EXT,day,The Queen demands the Cheshire Cat's removal,,6.0,,,,
464,464,8,"“A cat may look at a king,” said Alice. “I’ve read that in some book, but I don’t remember where.”",20,98,garden,EXT,day,The Queen demands the Cheshire Cat's removal,,6.0,,,,
465,465,8,"“Well, it must be removed,” said the King very decidedly, and he called the Queen, who was passing at the moment, “My dear! I wish you would have this cat removed!”",31,164,garden,EXT,day,The Queen demands the Cheshire Cat's removal,,6.0,,,,
466,466,8,"The Queen had only one way of settling all difficulties, great or small. “Off with his head!” she said, without even looking round.",23,131,garden,EXT,day,The Queen demands the Cheshire Cat's removal,,6.0,Action,The Queen commanded for the Cheshire Cat to be removed.,Queen of Hearts,
467,467,8,"“I’ll fetch the executioner myself,” said the King eagerly, and he hurried off.",13,79,garden,EXT,day,The Queen demands the Cheshire Cat's removal,,6.0,Action,The King hurried off to find the executioner.,King of Hearts,
468,468,8,"Alice thought she might as well go back, and see how the game was going on, as she heard the Queen’s voice in the distance, screaming with passion. She had already heard her sentence three of the players to be executed for having missed their turns, and she did not like the look of things at all, as the game was in such confusion that she never knew whether it was her turn or not. So she went in search of her hedgehog.",83,422,garden,EXT,day,The Queen demands the Cheshire Cat's removal,,6.0,,,,
469,469,8,"The hedgehog was engaged in a fight with another hedgehog, which seemed to Alice an excellent opportunity for croqueting one of them with the other: the only difficulty was, that her flamingo was gone across to the other side of the garden, where Alice could see it trying in a helpless sort of way to fly up into a tree.",60,321,garden,EXT,day,,,,,,,
470,470,8,"By the time she had caught the flamingo and brought it back, the fight was over, and both the hedgehogs were out of sight: “but it doesn’t matter much,” thought Alice, “as all the arches are gone from this side of the ground.” So she tucked it away under her arm, that it might not escape again, and went back for a little more conversation with her friend.",68,357,garden,EXT,day,,,,,,,
471,471,8,"When she got back to the Cheshire Cat, she was surprised to find quite a large crowd collected round it: there was a dispute going on between the executioner, the King, and the Queen, who were all talking at once, while all the rest were quite silent, and looked very uncomfortable.",51,282,garden,EXT,day,"Alice mediates between the King, Queen, and executioner","Alice is drawn into a humorous and chaotic argument about beheading, showcasing her growing confidence and the absurdity of the rules in Wonderland.",6.0,,,,Resolution
472,472,8,"The moment Alice appeared, she was appealed to by all three to settle the question, and they repeated their arguments to her, though, as they all spoke at once, she found it very hard indeed to make out exactly what they said.",42,226,garden,EXT,day,"Alice mediates between the King, Queen, and executioner","Alice is drawn into a humorous and chaotic argument about beheading, showcasing her growing confidence and the absurdity of the rules in Wonderland.",6.0,Action,The Cat's head faded away when the executioner went to fetch the Duchess.,Cheshire Cat,Resolution
473,473,8,"The executioner’s argument was, that you couldn’t cut off a head unless there was a body to cut it off from: that he had never had to do such a thing before, and he wasn’t going to begin at _his_ time of life.",43,209,garden,EXT,day,"Alice mediates between the King, Queen, and executioner","Alice is drawn into a humorous and chaotic argument about beheading, showcasing her growing confidence and the absurdity of the rules in Wonderland.",6.0,,,,Resolution
474,474,8,"The King’s argument was, that anything that had a head could be beheaded, and that you weren’t to talk nonsense.",20,112,garden,EXT,day,"Alice mediates between the King, Queen, and executioner","Alice is drawn into a humorous and chaotic argument about beheading, showcasing her growing confidence and the absurdity of the rules in Wonderland.",6.0,,,,Resolution
475,475,8,"The Queen’s argument was, that if something wasn’t done about it in less than no time she’d have everybody executed, all round. (It was this last remark that had made the whole party look so grave and anxious.)",38,210,garden,EXT,day,"Alice mediates between the King, Queen, and executioner","Alice is drawn into a humorous and chaotic argument about beheading, showcasing her growing confidence and the absurdity of the rules in Wonderland.",6.0,,,,Resolution
476,476,8,Alice could think of nothing else to say but “It belongs to the Duchess: you’d better ask _her_ about it.”,20,106,garden,EXT,day,"Alice mediates between the King, Queen, and executioner","Alice is drawn into a humorous and chaotic argument about beheading, showcasing her growing confidence and the absurdity of the rules in Wonderland.",6.0,Action,The Queen insisted on fetching the Duchess for questioning.,Queen of Hearts,Resolution
477,477,8,"“She’s in prison,” the Queen said to the executioner: “fetch her here.” And the executioner went off like an arrow.",20,115,garden,EXT,day,The return of the Duchess,"The Queen demands the Duchess be fetched to resolve the argument about the Cat's head, further entrenching Alice in the absurdity and turmoil of Wonderland.",5.0,Statement,Alice suggested asking the Duchess about the Cat.,Alice,Resolution
478,478,8,"The Cat’s head began fading away the moment he was gone, and, by the time he had come back with the Duchess, it had entirely disappeared; so the King and the executioner ran wildly up and down looking for it, while the rest of the party went back to the game.",51,259,garden,EXT,day,The return of the Duchess,"The Queen demands the Duchess be fetched to resolve the argument about the Cat's head, further entrenching Alice in the absurdity and turmoil of Wonderland.",5.0,,,,Resolution
479,479,9,CHAPTER IX. The Mock Turtle’s Story,6,35,garden,EXT,day,,,,,,,
480,480,9,"“You can’t think how glad I am to see you again, you dear old thing!” said the Duchess, as she tucked her arm affectionately into Alice’s, and they walked off together.",31,168,,,,Alice reunites with the Duchess,"Alice is delighted to see the Duchess in a happy mood, contrasting her earlier aggression. This moment highlights the theme of transformation and indicates that circumstances can change a person's disposition.",5.0,Action,The Duchess tucks her arm affectionately into Alice's.,Duchess,Setup
481,481,9,"Alice was very glad to find her in such a pleasant temper, and thought to herself that perhaps it was only the pepper that had made her so savage when they met in the kitchen.",35,175,,,,Alice reunites with the Duchess,"Alice is delighted to see the Duchess in a happy mood, contrasting her earlier aggression. This moment highlights the theme of transformation and indicates that circumstances can change a person's disposition.",5.0,,,,Setup
482,482,9,"“When _I’m_ a Duchess,” she said to herself, (not in a very hopeful tone though), “I won’t have any pepper in my kitchen _at all_. Soup does very well without—Maybe it’s always pepper that makes people hot-tempered,” she went on, very much pleased at having found out a new kind of rule, “and vinegar that makes them sour—and camomile that makes them bitter—and—and barley-sugar and such things that make children sweet-tempered. I only wish people knew _that_: then they wouldn’t be so stingy about it, you know—”",87,514,,,,Alice reunites with the Duchess,"Alice is delighted to see the Duchess in a happy mood, contrasting her earlier aggression. This moment highlights the theme of transformation and indicates that circumstances can change a person's disposition.",5.0,Statement,Alice thinks about the effects of various ingredients on people's temperaments.,Alice,Setup
483,483,9,"She had quite forgotten the Duchess by this time, and was a little startled when she heard her voice close to her ear. “You’re thinking about something, my dear, and that makes you forget to talk. I can’t tell you just now what the moral of that is, but I shall remember it in a bit.”",56,284,,,,Discussion of morals,"The Duchess ponders the morals behind different feelings and flavors, suggesting that different emotions can be associated with various foods. This introduces a playful philosophical element to their conversation.",4.0,,,,Setup
484,484,9,"“Perhaps it hasn’t one,” Alice ventured to remark.",8,50,,,,Discussion of morals,"The Duchess ponders the morals behind different feelings and flavors, suggesting that different emotions can be associated with various foods. This introduces a playful philosophical element to their conversation.",4.0,,,,Setup
485,485,9,"“Tut, tut, child!” said the Duchess. “Everything’s got a moral, if only you can find it.” And she squeezed herself up closer to Alice’s side as she spoke.",28,154,,,,Discussion of morals,"The Duchess ponders the morals behind different feelings and flavors, suggesting that different emotions can be associated with various foods. This introduces a playful philosophical element to their conversation.",4.0,Statement,The Duchess insists that everything has a moral.,Duchess,Setup
486,486,9,"Alice did not much like keeping so close to her: first, because the Duchess was _very_ ugly; and secondly, because she was exactly the right height to rest her chin upon Alice’s shoulder, and it was an uncomfortably sharp chin. However, she did not like to be rude, so she bore it as well as she could.",57,302,,,,Discussion of morals,"The Duchess ponders the morals behind different feelings and flavors, suggesting that different emotions can be associated with various foods. This introduces a playful philosophical element to their conversation.",4.0,,,,Setup
487,487,9,"“The game’s going on rather better now,” she said, by way of keeping up the conversation a little.",18,98,,,,Discussion of morals,"The Duchess ponders the morals behind different feelings and flavors, suggesting that different emotions can be associated with various foods. This introduces a playful philosophical element to their conversation.",4.0,,,,Setup
488,488,9,"“’Tis so,” said the Duchess: “and the moral of that is—‘Oh, ’tis love, ’tis love, that makes the world go round!’”",21,114,,,,Discussion of morals,"The Duchess ponders the morals behind different feelings and flavors, suggesting that different emotions can be associated with various foods. This introduces a playful philosophical element to their conversation.",4.0,Statement,Alice acknowledges the Duchess's remark about love.,Alice,Setup
489,489,9,"“Somebody said,” Alice whispered, “that it’s done by everybody minding their own business!”",13,91,,,,Discussion of morals,"The Duchess ponders the morals behind different feelings and flavors, suggesting that different emotions can be associated with various foods. This introduces a playful philosophical element to their conversation.",4.0,,,,Setup
490,490,9,"“Ah, well! It means much the same thing,” said the Duchess, digging her sharp little chin into Alice’s shoulder as she added, “and the moral of _that_ is—‘Take care of the sense, and the sounds will take care of themselves.’”",40,225,,,,Discussion of morals,"The Duchess ponders the morals behind different feelings and flavors, suggesting that different emotions can be associated with various foods. This introduces a playful philosophical element to their conversation.",4.0,,,,Setup
491,491,9,“How fond she is of finding morals in things!” Alice thought to herself.,13,72,,,,Discussion of morals,"The Duchess ponders the morals behind different feelings and flavors, suggesting that different emotions can be associated with various foods. This introduces a playful philosophical element to their conversation.",4.0,,,,Setup
492,492,9,"“I dare say you’re wondering why I don’t put my arm round your waist,” the Duchess said after a pause: “the reason is, that I’m doubtful about the temper of your flamingo. Shall I try the experiment?”",37,200,,,,,,,Statement,The Duchess explains her reasoning for not putting her arm around Alice.,Duchess,
493,493,9,"“He might bite,” Alice cautiously replied, not feeling at all anxious to have the experiment tried.",16,99,,,,,,,,,,
494,494,9,"“Very true,” said the Duchess: “flamingoes and mustard both bite. And the moral of that is—‘Birds of a feather flock together.’”",21,128,,,,,,,,,,
495,495,9,"“Only mustard isn’t a bird,” Alice remarked.",7,44,,,,,,,,,,
496,496,9,"“Right, as usual,” said the Duchess: “what a clear way you have of putting things!”",15,83,,,,,,,Statement,Alice appreciates the Duchess's clarity in expressing ideas.,Alice,
497,497,9,"“It’s a mineral, I _think_,” said Alice.",7,40,,,,,,,,,,
498,498,9,"“Of course it is,” said the Duchess, who seemed ready to agree to everything that Alice said; “there’s a large mustard-mine near here. And the moral of that is—‘The more there is of mine, the less there is of yours.’”",40,217,,,,,,,,,,
499,499,9,"“Oh, I know!” exclaimed Alice, who had not attended to this last remark, “it’s a vegetable. It doesn’t look like one, but it is.”",24,129,,,,,,,,,,
500,500,9,"“I quite agree with you,” said the Duchess; “and the moral of that is—‘Be what you would seem to be’—or if you’d like it put more simply—‘Never imagine yourself not to be otherwise than what it might appear to others that what you were or might have been was not otherwise than what you had been would have appeared to them to be otherwise.’”",64,342,,,,,,,,,,
